file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_dhasa_bhukthi	include_antardhasa	truthy/falsy	L122,L137	local_recompute	none	DS900
src/jhora/horoscope/dhasa/annual/mudda.py	varsha_vimsottari_mahadasa	divisional_chart_factor	parameter_only	L59,L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/annual/patyayini.py	patyayini_dhasa	divisional_chart_factor	parameter_only	L24	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	_lagna_longevity	divisional_chart_factor	parameter_only	L385,L389	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	amsayu_dhasa_bhukthi	divisional_chart_factor	parameter_only	L490,L493	none	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	amsayu_dhasa_bhukthi	include_antardhasa	parameter_only	L489,L491	none	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	get_dhasa_antardhasa	divisional_chart_factor	parameter_only	L410,L433	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	get_dhasa_antardhasa	include_antardhasa	truthy/falsy	L409,L418,L419,L466	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	longevity	include_antardhasa	parameter_only	L495	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	nisargayu_dhasa_bhukthi	divisional_chart_factor	parameter_only	L485,L488	none	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	nisargayu_dhasa_bhukthi	include_antardhasa	parameter_only	L484,L486	none	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	pindayu_dhasa_bhukthi	divisional_chart_factor	parameter_only	L480,L483	none	none	DS900
src/jhora/horoscope/dhasa/graha/aayu.py	pindayu_dhasa_bhukthi	include_antardhasa	parameter_only	L479,L481	none	none	DS900
src/jhora/horoscope/dhasa/graha/applicability.py	applicability_check	divisional_chart_factor	parameter_only	L26,L28,L36,L40	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	_get_dhasa_dict	seed_star	6	L48,L49	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_bhukthi	antardhasa_option	1,3,4,5,6	L133,L138,L140,L142	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_dasha_start_date	dhasa_starting_planet	1,const._ascendant_symbol	L70,L77,L79,L81,L84,L87,L90,L93,L96,L101	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_dasha_start_date	divisional_chart_factor	parameter_only	L69,L75,L82,L85,L88,L91,L94,L97	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_dasha_start_date	star_position_from_moon	parameter_only	L69	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_mahadasa	dhasa_starting_planet	parameter_only	L118,L125	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_mahadasa	divisional_chart_factor	parameter_only	L117,L123	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	ashtottari_mahadasa	star_position_from_moon	parameter_only	L117,L124	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	antardhasa_option	parameter_only	L169	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/ashtottari.py	get_ashtottari_dhasa_bhukthi	dhasa_starting_planet	parameter_only	L169,L209	local_recompute	none	DS900
